form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,epistemic_tag,variants_tag,analysis_tag,overabundance_tag,source,page,language_id
komsaikul195,hmu,1.pl.excl.3.pl.nfut.neg,hmu-mak-hei-ung,Σ-mak-hei-ung,Σ+mak+hei+ung,Σ m a k h ei u ŋ,Σ + m a k + h ei + u ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul196,se,2.sg.nfut.neg,se-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul197,se,2.pl.nfut.neg,se-mak-chei,Σ-mak-chei,Σ+mak+chei,Σ m a k tʃ ei,Σ + m a k + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul198,hmu,2.sg.1.sg.nfut.neg,ei-hmu-mak-che,ei-Σ-mak-che,ei+Σ+mak+che,ei Σ m a k tʃ e,ei + Σ + m a k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul199,hmu,2.sg.1.sg.nfut.neg,a-hmu-mak-che,a-Σ-mak-che,a+Σ+mak+che,a Σ m a k tʃ e,a + Σ + m a k + tʃ e,generated,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul200,hmu,2.sg.1.pl.excl.nfut.neg,ei-hmu-mak-che,ei-Σ-mak-che,ei+Σ+mak+che,ei Σ m a k tʃ e,ei + Σ + m a k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul201,hmu,2.sg.1.pl.excl.nfut.neg,a-hmu-mak-che,a-Σ-mak-che,a+Σ+mak+che,a Σ m a k tʃ e,a + Σ + m a k + tʃ e,generated,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul202,hmu,2.pl.1.sg.nfut.neg,ei-hmu-mak-chei,ei-Σ-mak-chei,ei+Σ+mak+chei,ei Σ m a k tʃ ei,ei + Σ + m a k + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul203,hmu,2.pl.1.sg.nfut.neg,a-hmu-mak-chei,a-Σ-mak-chei,a+Σ+mak+chei,a Σ m a k tʃ ei,a + Σ + m a k + tʃ ei,generated,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul204,hmu,2.pl.1.pl.excl.nfut.neg,ei-hmu-mak-chei,ei-Σ-mak-chei,ei+Σ+mak+chei,ei Σ m a k tʃ ei,ei + Σ + m a k + tʃ ei,generated,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul205,hmu,2.pl.1.pl.excl.nfut.neg,a-hmu-mak-chei,a-Σ-mak-chei,a+Σ+mak+chei,a Σ m a k tʃ ei,a + Σ + m a k + tʃ ei,elicited,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul206,hmu,2.sg.3.sg.nfut.neg,hmu-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul207,hmu,2.sg.3.pl.nfut.neg,hmu-mak-hei-che,Σ-mak-hei-che,Σ+mak+hei+che,Σ m a k h ei tʃ e,Σ + m a k + h ei + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul208,hmu,2.sg.3.pl.nfut.neg,hmu-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,elicited,unspecified,,optional_plural,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul209,hmu,2.pl.3.sg.nfut.neg,hmu-mak-chei,Σ-mak-chei,Σ+mak+chei,Σ m a k tʃ ei,Σ + m a k + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul210,hmu,2.pl.3.pl.nfut.neg,hmu-mak-hei-chei,Σ-mak-hei-chei,Σ+mak+hei+chei,Σ m a k h ei tʃ ei,Σ + m a k + h ei + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul211,se,3.sg.nfut.neg,se-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul212,se,3.pl.nfut.neg,se-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul213,hmu,3.sg.1.sg.nfut.neg,ei-hmu-mak,ei-Σ-mak,ei+Σ+mak,ei Σ m a k,ei + Σ + m a k,generated,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul214,hmu,3.sg.1.sg.nfut.neg,a-hmu-mak,a-Σ-mak,a+Σ+mak,a Σ m a k,a + Σ + m a k,elicited,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul215,hmu,3.sg.1.pl.excl.nfut.neg,a-hmu-mak,a-Σ-mak,a+Σ+mak,a Σ m a k,a + Σ + m a k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul216,hmu,3.sg.1.pl.excl.nfut.neg,ei-hmu-mak,ei-Σ-mak,ei+Σ+mak,ei Σ m a k,ei + Σ + m a k,generated,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul217,hmu,3.sg.1.pl.incl.nfut.neg,a-hmu-mak,a-Σ-mak,a+Σ+mak,a Σ m a k,a + Σ + m a k,generated,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul218,hmu,3.sg.1.pl.incl.nfut.neg,ei-hmu-mak,ei-Σ-mak,ei+Σ+mak,ei Σ m a k,ei + Σ + m a k,elicited,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul219,hmu,3.pl.1.sg.nfut.neg,ei-hmu-mak-hei,ei-Σ-mak-hei,ei+Σ+mak+hei,ei Σ m a k h ei,ei + Σ + m a k + h ei,elicited,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul220,hmu,3.pl.1.sg.nfut.neg,a-hmu-mak-hei,a-Σ-mak-hei,a+Σ+mak+hei,a Σ m a k h ei,a + Σ + m a k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul221,hmu,3.pl.1.pl.excl.nfut.neg,ei-hmu-mak-hei,ei-Σ-mak-hei,ei+Σ+mak+hei,ei Σ m a k h ei,ei + Σ + m a k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul222,hmu,3.pl.1.pl.excl.nfut.neg,a-hmu-mak-hei,a-Σ-mak-hei,a+Σ+mak+hei,a Σ m a k h ei,a + Σ + m a k + h ei,generated,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul223,hmu,3.pl.1.pl.incl.nfut.neg,ei-hmu-mak-hei,ei-Σ-mak-hei,ei+Σ+mak+hei,ei Σ m a k h ei,ei + Σ + m a k + h ei,generated,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul224,hmu,3.pl.1.pl.incl.nfut.neg,a-hmu-mak-hei,a-Σ-mak-hei,a+Σ+mak+hei,a Σ m a k h ei,a + Σ + m a k + h ei,generated,dialect_var,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul225,hmu,3.sg.2.sg.nfut.neg,hmu-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul226,hmu,3.sg.2.pl.nfut.neg,hmu-mak-chei,Σ-mak-chei,Σ+mak+chei,Σ m a k tʃ ei,Σ + m a k + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul227,hmu,3.pl.2.sg.nfut.neg,hmu-mak-hei-che,Σ-mak-hei-che,Σ+mak+hei+che,Σ m a k h ei tʃ e,Σ + m a k + h ei + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul228,hmu,3.pl.2.pl.nfut.neg,hmu-mak-hei-chei,Σ-mak-hei-chei,Σ+mak+hei+chei,Σ m a k h ei tʃ ei,Σ + m a k + h ei + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul229,hmu,3.pl.2.pl.nfut.neg,hmu-mak-chei,Σ-mak-chei,Σ+mak+chei,Σ m a k tʃ ei,Σ + m a k + tʃ ei,elicited,unspecified,,optional_plural,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul230,hmu,3.sg.3.sg.nfut.neg,hmu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul231,hmu,3.sg.3.pl.nfut.neg,hmu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul232,hmu,3.pl.3.sg.nfut.neg,hmu-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul233,hmu,3.pl.3.pl.nfut.neg,hmu-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
